count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
945915,9,"South East",142,Oxfordshire,U,Minor,,,477086,179081,51.50541598,-0.89073228,,
945913,9,"South East",142,Oxfordshire,C,Minor,,,458968,229482,51.96070200,-1.14321890,,
945911,9,"South East",142,Oxfordshire,C,Minor,,,472124,188759,51.59307438,-0.96023092,,
945910,9,"South East",142,Oxfordshire,U,Minor,,,460344,228883,51.95517156,-1.12330081,,
945909,9,"South East",142,Oxfordshire,C,Minor,,,431182,228718,51.95608000,-1.54765150,,
945908,9,"South East",142,Oxfordshire,U,Minor,,,452689,218404,51.86174140,-1.23628167,,
945907,9,"South East",142,Oxfordshire,U,Minor,,,452614,198995,51.68725676,-1.24030531,,
945905,9,"South East",142,Oxfordshire,U,Minor,,,428903,208054,51.77042000,-1.58253650,,
945904,9,"South East",142,Oxfordshire,U,Minor,,,435980,216244,51.84364605,-1.47913231,,
945903,9,"South East",142,Oxfordshire,U,Minor,,,435129,212900,51.81363400,-1.49182290,,
945902,9,"South East",142,Oxfordshire,U,Minor,,,469738,177610,51.49314463,-0.99687466,,
945901,9,"South East",142,Oxfordshire,U,Minor,,,435605,235356,52.01549523,-1.48260426,,
945900,9,"South East",142,Oxfordshire,C,Minor,,,452892,185868,51.56921282,-1.23826272,,
945899,9,"South East",142,Oxfordshire,C,Minor,,,435201,209984,51.78741300,-1.49107360,,
945898,9,"South East",142,Oxfordshire,C,Minor,,,458339,205053,51.74115465,-1.15648658,,
945897,9,"South East",142,Oxfordshire,C,Minor,,,457153,196042,51.66026400,-1.17513520,,
945896,9,"South East",142,Oxfordshire,C,Minor,,,451494,206660,51.75627150,-1.25537455,,
945895,9,"South East",142,Oxfordshire,C,Minor,,,449680,196848,51.66821900,-1.28304850,,
945894,9,"South East",142,Oxfordshire,C,Minor,,,457379,183861,51.55072900,-1.17385770,,
945893,9,"South East",142,Oxfordshire,C,Minor,,,469270,184280,51.55316400,-1.00230550,,
945892,9,"South East",142,Oxfordshire,C,Minor,,,447999,248921,52.13651227,-1.30011796,,
945891,9,"South East",142,Oxfordshire,C,Minor,,,447836,221497,51.88998433,-1.30632109,,
945890,9,"South East",142,Oxfordshire,C,Minor,,,446867,221247,51.88781889,-1.32043403,,
945889,9,"South East",142,Oxfordshire,C,Minor,,,463766,182239,51.53546300,-1.08204800,,
945888,9,"South East",142,Oxfordshire,C,Minor,,,437738,239867,52.05590963,-1.45102917,,
945887,9,"South East",142,Oxfordshire,C,Minor,,,440156,195360,51.65560212,-1.42092311,,
945885,9,"South East",142,Oxfordshire,C,Minor,,,461799,223473,51.90637600,-1.10310070,,
945884,9,"South East",142,Oxfordshire,C,Minor,,,440530,242297,52.07755900,-1.41002429,,
945883,9,"South East",142,Oxfordshire,C,Minor,,,457725,226943,51.93800881,-1.16173233,,
945882,9,"South East",142,Oxfordshire,C,Minor,,,466389,183551,51.54695781,-1.04398940,,
945881,9,"South East",142,Oxfordshire,C,Minor,,,432275,185982,51.57178900,-1.53570290,,
945880,9,"South East",142,Oxfordshire,C,Minor,,,462578,192325,51.62627269,-1.09737945,,
945879,9,"South East",142,Oxfordshire,C,Minor,,,461790,185993,51.56943351,-1.10987488,,
945877,9,"South East",142,Oxfordshire,C,Minor,,,431178,221414,51.89041400,-1.54836890,,
945876,9,"South East",142,Oxfordshire,C,Minor,,,469278,204490,51.73485014,-0.99819476,,
945875,9,"South East",142,Oxfordshire,C,Minor,,,464923,205237,51.74208604,-1.06111039,,
945874,9,"South East",142,Oxfordshire,C,Minor,,,440736,233209,51.99584138,-1.40809817,,
945873,9,"South East",142,Oxfordshire,C,Minor,,,454724,193842,51.64072820,-1.21059120,,
945872,9,"South East",142,Oxfordshire,C,Minor,,,453588,201678,51.71128400,-1.22580580,,
